id,saleprice
2658,143896.82230421028
2718,160924.54619279713
2414,234319.25547384398
1989,106934.44343020344
625,181737.1225832357
333,100325.64180652596
1327,112097.95941037299
858,163128.30302895178
95,177292.02572782338
1568,167701.09818691178
2482,161599.63336024305
1364,127884.82264271009
2584,152642.71349233823
818,274945.5807503638
2673,158978.0475763551
2089,111087.43102922764
1297,145726.92952711886
790,117925.76544755376
2616,186020.50551951263
720,198362.8779972195
222,163457.31454903993
557,120836.8513222602
1148,207667.179367753
2766,162341.1469451692
534,188583.93116662215
1452,122148.01307591931
630,114756.22926520232
2648,114538.85356265483
125,158183.03216497577
1904,63201.558829406
1670,106292.2290265701
756,104222.95195508498
717,210392.61753197527
1032,162046.95399032696
852,223846.14793710937
1731,188119.56447350985
2639,120390.75981576873
2071,90704.39951754747
1267,117864.30210651523
1851,181150.39102527132
567,158768.06794971018
2439,206282.46921304517
1898,155619.4093072459
647,167428.25449359344
2256,216600.12271699708
979,102165.44670151742
1444,230044.51981556515
2485,118035.68285817881
157,134562.61972937407
88,114258.0083305258
2003,117912.86725025256
186,193441.72646171457
1425,243360.41715565918
2695,129382.62602081268
738,102186.89565241615
395,169447.545114669
1353,166900.84527694216
1878,131836.72676304966
390,159363.2159924843
1456,240710.61047950166
1103,304468.9458351267
1387,125868.03797108661
2070,144957.52721819223
1199,187667.8226478682
2479,175982.55163991865
501,302979.920585198
2362,93798.74209938108
1718,199090.00440719063
2188,82039.13815716215
1483,150045.16812450017
2557,81724.04853083917
437,391724.0067762502
2224,195099.61737607754
1628,171418.02310690464
397,146947.65626302263
587,203442.1957544836
971,124803.5378134651
2611,143199.81948965532
1887,96730.68038464703
2399,357980.2128282895
2148,198746.480802249
304,117417.75239597408
1997,132039.6766122915
2817,112098.65817762881
1431,190319.6429748052
427,340244.19730108883
263,127000.09598864704
598,168298.9442100809
2895,225712.68737110938
687,152093.70581902837
1822,141063.81629021832
2191,103834.2505076585
179,127676.6901687524
1009,214799.6814374226
2010,132649.80634852292
1991,144234.65595429906
1411,172807.1834596655
1721,233885.2251559604
1144,195522.2947469253
593,231789.45224406623
575,327356.2885881557
1249,164130.65495070786
1604,119796.88106935602
1064,507469.6208774845
1923,153086.24019490555
1988,118019.7147045459
2325,173539.22149959137
114,202294.6778140401
2700,178600.00482809107
217,137350.65014769975
343,174199.89021361672
386,210525.3321247411
2005,113222.34588374523
2908,144011.77102031073
1814,239263.63616929704
2446,491744.9780523182
208,139460.750502704
1679,108834.4690318892
822,320643.52205490886
6,199847.01225627708
1781,393538.4530930587
2397,292312.27449732495
2340,324871.1968276944
1618,186557.5493606676
2843,123627.23103112093
1061,374394.2363756338
2786,128940.77335847357
1935,141149.9372966316
1341,117620.33453120891
521,257850.9665906936
2136,135312.03003877844
996,200573.28234882082
227,151243.3307784939
135,185974.98997595135
1167,157830.78997615437
294,239083.09518276522
1776,204880.62344061225
540,167398.94760243772
1717,210493.18264822528
2303,132986.46877185852
116,191420.90316391908
127,136894.32447277824
1371,138338.56273425554
1014,146809.83382645223
1507,99060.4717521162
702,127708.88705739244
750,145195.4842279693
261,168601.57360286618
1559,64278.95726072597
577,237064.62358130046
2812,199906.46311247372
2080,160918.78213902874
1368,110993.61306337519
2376,119506.3738447106
659,110457.67064393232
1235,134667.8677700424
332,85644.96399550383
1917,142613.59142424693
2094,259110.17294040197
1460,253514.8223704237
1471,219367.04168084444
1509,128554.5562921734
1922,132995.4936866261
433,493506.26409862045
460,252039.72107299097
1116,243074.17896387604
1137,173491.2759597183
53,164215.89568990903
2354,257899.10763491297
1475,203917.980393715
1761,547286.9964267184
842,143780.1025627446
2739,160285.2347619663
2509,147906.2503421186
1007,202659.0315873627
2610,197711.71324207
1952,87142.25456040008
2719,163500.4759244812
2921,94773.28092247971
1966,148421.4681441849
292,105407.37885185328
1204,181671.73718055393
1829,266773.47270728357
2419,193930.93614058514
391,150959.89382520356
798,114691.15751304443
481,205244.681795115
193,196030.19356449257
555,124688.21178277825
899,64519.1318391962
2357,188623.67825498362
328,131596.62554680443
1356,113558.89675877434
1154,106442.45410878472
1730,181787.50799027973
2249,160103.59505852303
1119,280067.34492685855
2856,134518.47746988045
1394,129965.64815993252
2587,124712.73532559205
61,314421.26984685945
2661,168360.35618640075
2711,136259.90861449478
1147,179580.89378180532
757,127655.50296292189
2623,96669.93944437492
2378,140919.29196846858
1413,149135.40922604443
1722,224552.8198238307
1112,211532.76657931064
1623,195087.89558117418
1201,188346.05624642048
1513,113713.52028798609
957,354725.08848513814
1171,251342.8376201498
1145,193863.0998531478
2726,248484.1084305486
703,147347.45442748253
760,95023.24935839907
1964,159716.25106864318
2512,178317.93525427423
159,139538.39516988516
1281,165047.05513535012
468,186794.02600130028
290,128149.26667159854
665,104604.14826681184
1463,253225.06085002114
1792,220625.35636060964
923,152489.17140715517
500,244440.0997748052
1408,176917.1818869834
331,85003.66555603432
170,109627.0579825895
2192,91737.87170021678
2571,248059.0784158736
2314,177498.75088817786
2647,94096.17649858247
422,411529.7186111415
2457,359242.3069787563
1838,195988.27132675875
2805,261175.44103701363
1645,166903.26335000858
1711,296778.8971858231
2825,234646.52160699875
322,325812.8261413549
2103,262980.4385866658
342,115825.96432161226
600,125736.66616515745
488,177284.83362210088
1725,313676.0600628434
2246,290028.87922539405
2847,154337.31999689134
806,243407.935718591
530,218584.17516361948
963,193502.77544497116
2678,100918.90102057823
171,92937.51351599315
2401,462517.2060312026
805,229085.05375811696
2259,229868.02143808617
1748,192250.50085887976
1361,146980.85563505345
1677,114912.90850295387
1406,147394.26190794213
2322,254747.41785630755
688,148736.60172845656
143,143614.1668016864
804,213186.13841029516
1214,153438.9725106717
2828,148753.83671816599
1999,146745.70823594637
2467,197001.9477144727
2665,160688.81808853283
1538,356273.87857051723
398,115185.36674450955
2822,139567.15128743777
2157,144707.46115380502
1856,203646.47106901713
1269,89946.94089466431
2570,111224.16300516928
2320,230683.84451198674
1517,141971.51320440453
2304,124405.54376563737
1312,101862.29161926726
2012,137299.69341266959
506,251747.63123298023
2865,230661.80012567944
2367,103535.35952480155
554,85245.20126711004
238,132252.03156593506
1954,121345.27930016069
2488,126454.02195846404
2291,86293.61419473628
1969,99719.25888589515
2725,160270.1811407569
1482,149005.16952020582
2763,193170.056733808
503,236898.91082247102
1584,248315.23559143487
1531,131025.10684555341
2210,171557.50324967926
459,346385.29777246586
556,128283.55455710934
1347,131899.76097816657
1290,75236.41933787965
1388,99557.61168409816
1571,264009.5102983278
2754,198706.40297849485
765,131119.61600455377
2494,128896.06093450252
2870,240727.69604282186
7,232823.75326944367
1114,242165.70713742924
2418,286093.37181338185
291,116421.6805024403
18,347286.08374004497
39,389371.13629809447
1001,264480.9710031581
2442,223992.46032715117
616,117954.62981841406
2680,74616.86712925235
1414,132865.55787222783
289,150191.81217950885
40,266191.2533164252
860,117828.78157012173
409,133278.1795098171
673,151611.32632938886
2427,173480.46020367744
2036,245534.30993753782
2564,134061.25615222804
642,149859.7193585799
1008,196827.66041957407
1908,140213.25859388575
2519,185344.05539811534
1369,94115.72119385295
2855,167948.25629041993
712,98947.3243587644
1943,110015.82095030947
1958,123804.36265944374
107,145764.87297844025
2295,197380.10752569142
704,103764.2939538258
676,142656.1890162979
259,187356.89723878712
93,283772.82993506326
106,236318.84340166277
2315,177976.20975525895
1050,110279.12545909613
1095,212489.86345642857
2709,142678.3773866577
758,128393.9674481076
1496,163435.46975786446
2370,127517.06849190194
2458,272163.0768405836
2733,129024.19899314168
161,244820.55692297584
726,157804.8379739097
845,213393.09614825892
947,258464.4210288053
2232,112370.48617305624
2563,152595.1215066983
2299,138258.52307088207
211,84047.11630325599
605,158218.79225641952
1478,203769.8403468187
2247,275139.6507566742
2274,207768.40506465017
2869,224533.52497577126
967,209074.9017685176
2656,133880.46585455036
667,176402.9919081673
1042,110698.13579024018
2023,152649.61110867147
2447,368957.94041453674
2055,125929.58950063938
2275,314939.23433485377
2204,174293.68886591477
1563,276753.2722372377
483,214209.04194344935
